title;genre;duration;storyline
Léon: The Professional ; Action;110 min;"
                    Mathilda; a 12-year-old girl; is reluctantly taken in by Léon; a professional assassin; after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.
            "
Harakiri ; Drama;133 min;"
                    When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited; he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.
            "
The Green Mile ; Crime;189 min;"
                    The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape; yet who has a mysterious gift.
            "
The Shawshank Redemption ; Drama;142 min;"
                    Two imprisoned men bond over a number of years; finding solace and eventual redemption through acts of common decency.
            "
The Usual Suspects ; Crime;106 min;"
                    A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat; which began when five criminals met at a seemingly random police lineup.
            "
Interstellar ; Adventure;169 min;"
                    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
            "
Spirited Away ; Animation;125 min;"
                    During her family's move to the suburbs; a sullen 10-year-old girl wanders into a world ruled by gods; witches; and spirits; and where humans are changed into beasts.
            "
The Lion King ; Animation;88 min;"
                    A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair; only to learn in adulthood his identity and his responsibilities.
            "
It's a Wonderful Life ; Drama;130 min;"
                    An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
            "
City of God ; Crime;130 min;"
                    In the slums of Rio; two kids' paths diverge as one struggles to become a photographer and the other a kingpin.
            "
Life Is Beautiful ; Comedy;116 min;"
                    When an open-minded Jewish librarian and his son become victims of the Holocaust; he uses a perfect mixture of will; humor; and imagination to protect his son from the dangers around their camp.
            "
Star Wars: Episode IV - A New Hope ; Action;121 min;"
                    Luke Skywalker joins forces with a Jedi Knight; a cocky pilot; a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station; while also attempting to rescue Princess Leia from the mysterious Darth Vader.
            "
The Silence of the Lambs ; Crime;118 min;"
                    A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer; a madman who skins his victims.
            "
Saving Private Ryan ; Drama;169 min;"
                    Following the Normandy Landings; a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.
            "
Seven Samurai ; Action;207 min;"
                    A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
            "
Se7en ; Crime;127 min;"
                    Two detectives; a rookie and a veteran; hunt a serial killer who uses the seven deadly sins as his motives.
            "
The Legend of 1900 ; Drama;169 min;"
                    A baby boy; discovered in 1900 on an ocean liner; grows into a musical prodigy; never setting foot on land.
            "
The Battle of Algiers ; Drama;121 min;"
                    In the 1950s; fear and violence escalate as the people of Algiers fight for independence from the French government.
            "
Castle in the Sky ; See all certifications;125 min;"
                    A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
            "
Swades ; Drama;195 min;"
                    A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
            "
Infernal Affairs ; Crime;101 min;"
                    A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole; and who is the cop.
            "
Aladdin ; Animation;90 min;"
                    A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
            "
Akira ; Animation;124 min;"
                    A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.
            "
"Paris; Texas "; Drama;145 min;"
                    Travis Henderson; an aimless drifter who has been missing for four years; wanders out of the desert and must reconnect with society; himself; his life; and his family.
            "
In the Mood for Love ; Drama;98 min;"
                    Two neighbors; a woman and a man; form a strong bond after both suspect extramarital activities of their spouses. However; they agree to keep their bond platonic so as not to commit similar wrongs.
            "
Munna Bhai M.B.B.S. ; Comedy;156 min;"
                    A gangster sets out to fulfill his father's dream of becoming a doctor.
            "
The Terminator ; Action;107 min;"
                    In 1984; a human soldier is tasked to stop an indestructible cyborg killing machine; both sent from 2029; from executing a young woman; whose unborn son is the key to humanity's future salvation.
            "
Before Sunset ; Drama;80 min;"
                    Nine years after Jesse and Celine first met; they encounter each other again on the French leg of Jesse's book tour.
            "
PK ; See all certifications;153 min;"
                    An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.
            "
Butch Cassidy and the Sundance Kid ; Biography;110 min;"
                    Wyoming; early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.
            "
Guardians of the Galaxy ; Action;121 min;"
                    A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
            "
The Help ; Drama;146 min;"
                    An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work; and the hardships they go through on a daily basis.
            "
The Princess Bride ; Adventure;98 min;"
                    While home sick in bed; a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles; enemies and allies in his quest to be reunited with his true love.
            "
Gangs of Wasseypur ; See all certifications;321 min;"
                    A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur; and ignites a deadly blood feud spanning three generations.
            "
La Haine ; Crime;98 min;"
                    24 hours in the lives of three young men in the French suburbs the day after a violent riot.
            "
The Handmaiden ; Drama;145 min;"
                    A woman is hired as a handmaiden to a Japanese heiress; but secretly she is involved in a plot to defraud her.
            "
Rocky ; Drama;120 min;"
                    A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.
            "
Lagaan: Once Upon a Time in India ; Adventure;224 min;"
                    The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
            "
"Monsters; Inc. "; Animation;92 min;"
                    In order to power the city; monsters have to scare children so that they scream. However; the children are toxic to the monsters; and after a child gets through; 2 monsters realize things may not be what they think.
            "
It Happened One Night ; Comedy;105 min;"
                    A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.
            "
Ace in the Hole ; Drama;111 min;"
                    A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career; but the situation quickly escalates into an out-of-control circus.
            "
Rebecca ; Drama;130 min;"
                    A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
            "
Dead Poets Society ; Comedy;128 min;"
                    English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.
            "
Hotel Rwanda ; Biography;121 min;"
                    Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.
            "
White Heat ; Action;114 min;"
                    A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
            "
Spotlight ; Biography;129 min;"
                    The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese; shaking the entire Catholic Church to its core.
            "
The 400 Blows ; Crime;99 min;"
                    A young boy; left without attention; delves into a life of petty crime.
            "
Amores Perros ; Drama;154 min;"
                    A horrific car accident connects three stories; each involving characters dealing with loss; regret; and life's harsh realities; all in the name of love.
            "
Nausicaä of the Valley of the Wind ; Animation;117 min;"
                    Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
            "
Andrei Rublev ; See all certifications;165 min;"
                    The life; times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.
            "
Ben-Hur ; Adventure;212 min;"
                    When a Jewish prince is betrayed and sent into slavery by a Roman friend; he regains his freedom and comes back for revenge.
            "
Barry Lyndon ; Adventure;185 min;"
                    An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
            "
Hachi: A Dog's Tale ; Drama;93 min;"
                    A college professor bonds with an abandoned dog he takes into his home.
            "
Harry Potter and the Deathly Hallows: Part 2 ; Adventure;130 min;"
                    Harry (Daniel Radcliffe); Ron (Rupert Grint); and Hermione (Emma Watson) search for Voldemort's (Ralph Fiennes') remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.
            "
Rang De Basanti ; Comedy;167 min;"
                    The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past; and the events that lead them to relive the long-forgotten saga of freedom.
            "
Logan ; Action;137 min;"
                    In a future where mutants are nearly extinct; an elderly and weary Logan leads a quiet life. But when Laura; a mutant child pursued by scientists; comes to him for help; he must get her to safety.
            "
The Passion of Joan of Arc ; Biography;110 min;"
                    In 1431; Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.
            "
The Red Shoes ; Drama;135 min;"
                    A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
            "
Rush ; Biography;123 min;"
                    The merciless 1970s rivalry between Formula One rivals "
Million Dollar Baby ; Drama;132 min;"
                    A determined woman works with a hardened boxing trainer to become a professional.
            "
Monty Python's Life of Brian ; Comedy;94 min;"
                    Born on the original Christmas in the stable next door to Jesus; Brian of Nazareth spends his life being mistaken for a messiah.
            "
Platoon ; Drama;120 min;"
                    A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.
            "
Stand by Me ; Adventure;89 min;"
                    After the death of one of his friends; a writer recounts a boyhood journey with his friends to find the body of a missing boy.
            "
Mad Max: Fury Road ; Action;120 min;"
                    In a post-apocalyptic wasteland; a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners; a psychotic worshiper; and a drifter named Max.
            "
Network ; Drama;121 min;"
                    A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
            "
The Wages of Fear ; Adventure;131 min;"
                    In a decrepit South American village; four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.
            "
Prisoners ; Crime;153 min;"
                    When Keller Dover's daughter and her friend go missing; he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.
            "
12 Years a Slave ; Biography;134 min;"
                    In the antebellum United States; "
Into the Wild ; Adventure;148 min;"
                    After graduating from Emory University; top student and athlete Christopher McCandless abandons his possessions; gives his entire $24;000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way; Christopher encounters a series of characters that shape his life.
            "
Persona ; Drama;85 min;"
                    A nurse is put in charge of a mute actress and finds that their personae are melding together.
            "
Before Sunrise ; Drama;101 min;"
                    A young man and woman meet on a train in Europe; and wind up spending one evening together in Vienna. Unfortunately; both know that this will probably be their only night together.
            "
Cool Hand Luke ; Crime;127 min;"
                    A laid back Southern man is sentenced to two years in a rural prison; but refuses to conform.
            "
Catch Me If You Can ; Biography;141 min;"
                    A seasoned FBI agent pursues Frank Abagnale Jr. who; before his 19th birthday; successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot; a doctor; and a legal prosecutor.
            "
Mr. Smith Goes to Washington ; Comedy;129 min;"
                    A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption; but he doesn't back down.
            "
Memories of Murder ; Action;131 min;"
                    In a small Korean province in 1986; three detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.
            "
Sherlock Jr. ; Action;45 min;"
                    A film projectionist longs to be a detective; and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.
            "
The General ; Action;67 min;"
                    When Union spies steal an engineer's beloved locomotive; he pursues it single-handedly and straight through enemy lines.
            "
How to Train Your Dragon ; Animation;98 min;"
                    A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself; and learns there may be more to the creatures than he assumed.
            "
Hacksaw Ridge ; Biography;139 min;"
                    World War II American Army Medic "
Gone Girl ; Drama;149 min;"
                    With his wife's disappearance having become the focus of an intense media circus; a man sees the spotlight turned on him when it's suspected that he may not be innocent.
            "
The Grand Budapest Hotel ;MPAA;99 min;"
                    The adventures of Gustave H; a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars; and Zero Moustafa; the lobby boy who becomes his most trusted friend.
            "
Mary and Max ; Animation;92 min;"
                    A tale of friendship between two unlikely pen pals: Mary; a lonely; eight-year-old girl living in the suburbs of Melbourne; and Max; a forty-four-year old; severely obese man living in New York.
            "
In the Name of the Father ; Biography;133 min;"
                    A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
            "
The Truman Show ; Comedy;103 min;"
                    An insurance salesman discovers his whole life is actually a reality TV show.
            "
Wild Tales ; Comedy;122 min;"
                    Six short stories that explore the extremities of human behavior involving people in distress.
            "
Stalker ; See all certifications;162 min;"
                    A guide leads two men through an area known as the Zone to find a room that grants wishes.
            "
Kill Bill: Vol. 1 ; Action;111 min;"
                    After awakening from a four-year coma; a former assassin wreaks vengeance on the team of assassins who betrayed her.
            "
Ford v Ferrari ; Action;152 min;"
                    American car designer Carroll Shelby and driver Ken Miles battle corporate interference; the laws of physics and their own personal demons to build a revolutionary race car for Ford and challenge Ferrari at the 24 Hours of Le Mans in 1966.
            "
Tokyo Story ; Drama;136 min;"
                    An old couple visit their children and grandchildren in the city; but the children have little time for them.
            "
The Big Lebowski ; Comedy;117 min;"
                    Jeff ""The Dude"" Lebowski; mistaken for a millionaire of the same name; seeks restitution for his ruined rug and enlists his bowling buddies to help get it.
            "
The Deer Hunter ; Drama;183 min;"
                    An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
            "
Fargo ; Crime;98 min;"
                    Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
            "
The Bandit ; See all certifications;128 min;"
                    Baran the Bandit; released from prison after 35 years searches for vengeance and his lover.
            "
Gran Torino ;MPAA;116 min;"
                    Disgruntled Korean War veteran Walt Kowalski (Clint Eastwood) sets out to reform his neighbor; Thao Lor (Bee Vang); a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.
            "
Wild Strawberries ; Drama;91 min;"
                    After living a life marked by coldness; an aging professor is forced to confront the emptiness of his existence.
            "
